file,text
000_000020.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo"
000_000026.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo"
000_000030.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo"
000_000046.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo"
000_000048.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo"
000_000135.mp3,"genre Rock; styles Psych-Rock, Rock, Loud-Rock; tags abominog"
000_000137.mp3,"Recorded live in downtown Los Angeles at the Lace Gallery, April 27, 1978; genre Experimental; styles"
000_000138.mp3,"Recorded live in downtown Los Angeles at the Lace Gallery, April 27, 1978; genre Experimental; styles"
000_000142.mp3,genre Folk; styles Folk; tags alec k redfearn and the eyesores
000_000144.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000145.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000146.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000147.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000149.mp3,"genre Experimental; styles Avant-Garde, Experimental; tags andy hayleck"
000_000150.mp3,"genre Experimental; styles Avant-Garde, Experimental; tags andy hayleck"
000_000151.mp3,"genre Rock; styles Punk, Rock; tags animal writes"
000_000152.mp3,"genre Rock; styles Punk, Rock; tags animal writes"
000_000153.mp3,"genre Rock; styles Post-Rock, Rock; tags philly, arc and sender, baltimore"
000_000154.mp3,"genre Rock; styles Post-Rock, Rock; tags philly, arc and sender, baltimore"
000_000155.mp3,"genre Rock; styles Post-Rock, Rock; tags philly, arc and sender, baltimore"
000_000156.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000157.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000158.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000159.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000160.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000161.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000162.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000163.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000164.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000165.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000166.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000167.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000168.mp3,"genre Experimental; styles Experimental, Field Recordings; tags area c"
000_000169.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000170.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000171.mp3,"Unreleased; genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000172.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000173.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000174.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000175.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000176.mp3,"Unreleased; genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000177.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000178.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000179.mp3,"genre Rock; styles Punk, Rock; tags portland, argumentix"
000_000183.mp3,"genre Rock; styles Lo-Fi, Rock; tags ariel pinks haunted graffiti"
