file,text
000_000020.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo fi, nicky, impro, cook, nicky andrews, ukelele, nicky cook, singer songwriter, tabla"
000_000026.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo fi, nicky, impro, cook, nicky andrews, ukelele, nicky cook, singer songwriter, tabla"
000_000030.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo fi, nicky, impro, cook, nicky andrews, ukelele, nicky cook, singer songwriter, tabla"
000_000046.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo fi, nicky, impro, cook, nicky andrews, ukelele, nicky cook, singer songwriter, tabla"
000_000048.mp3,"styles Folk, Pop, Experimental Pop, Singer-Songwriter; tags instrumentals, experimental pop, post punk, experimental rock, soundtracks, lo fi, nicky, impro, cook, nicky andrews, ukelele, nicky cook, singer songwriter, tabla"
000_000135.mp3,"genre Rock; styles Psych-Rock, Rock, Loud-Rock; tags abominog"
000_000137.mp3,"Recorded live in downtown Los Angeles at the Lace Gallery, April 27, 1978; genre Experimental; styles Noise, Avant-Garde, Experimental; tags lafms, airway"
000_000138.mp3,"Recorded live in downtown Los Angeles at the Lace Gallery, April 27, 1978; genre Experimental; styles Noise, Avant-Garde, Experimental; tags lafms, airway"
000_000142.mp3,genre Folk; styles Folk; tags alec k redfearn and the eyesores
000_000144.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000145.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000146.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
000_000147.mp3,"genre Jazz; styles Jazz; tags providence, amoebic ensemble, rhode island"
